"PatronID","BIBID","YEAR"
"1041453","1139732","2019"
"1052438","1357675","2019"
"1058433","1358967","2019"
"1059803","1170424","2019"
"1054930","1323079","2019"
"1054930","1323079","2019"
"1054930","1323079","2019"
"1054930","1323079","2019"
"1054930","1323079","2019"
"1054930","1323079","2019"
"1043066","1330574","2019"
"1057171","1173991","2019"
"1057171","1070974","2019"
"1044773","1013148","2019"
"1044773","1013146","2019"
"1052030","1274576","2019"
"1052030","1274576","2019"
"1052030","1274576","2019"
"1047764","1268524","2019"
"1058345","1266682","2019"
"1061741","1152008","2019"
"1061741","1333350","2019"
"1061741","1295834","2019"
"1061741","1335029","2019"
"1034865","1151609","2019"
"1034865","1237378","2019"
"1042635","1090293","2019"
"1034845","1213847","2019"
"1034845","1161829","2019"
"1056084","1351779","2019"
"1056084","1188185","2019"
"1056084","1183182","2019"
"112473","1157136","2019"
"1046791","1337024","2019"
"1046791","1340503","2019"
"1007895","1273528","2019"
"1007895","1281901","2019"
"1007895","1270042","2019"
"1049095","1103363","2019"
"1042815","1206076","2019"
"1042815","1056747","2019"
"1042815","1066891","2019"
"1054060","1358950","2019"
"1056524","1266682","2019"
"1053912","1334026","2019"
"1056499","1266682","2019"
"1060456","1341521","2019"
"1042099","1187962","2019"
"1042099","1334052","2019"
"1055692","1132241","2019"
"1055692","1250030","2019"
"1042280","1323034","2019"
"1042280","1323034","2019"
"1047046","1038582","2019"
"1054095","1189487","2019"
"1047235","1105178","2019"
"112473","1166597","2019"
"1060058","1250529","2019"
"1060058","1176943","2019"
"1060058","1336132","2019"
"1060058","1266682","2019"
"132322","1171904","2019"
"116719","1132689","2019"
"116719","1353556","2019"
"116719","1240093","2019"
"132420","1338344","2019"
"1046737","1323552","2019"
"1046737","1271853","2019"
"1049045","1145553","2019"
"1049045","1346153","2019"
"1046646","1126587","2019"
"1052807","1103895","2019"
"1051466","1294636","2019"
"1051466","1271858","2019"
"1051466","1294636","2019"
"1054930","1323079","2019"
"1054930","1323079","2019"
"1054930","1323079","2019"
"1060765","1047692","2019"
"1043135","1029665","2019"
"1019954","1086302","2019"
"1045257","1320706","2019"
"1045257","1300157","2019"
"1045257","1230906","2019"
"1060987","1192703","2019"
"1044794","1285573","2019"
"1046652","1243020","2019"
"1046576","1123276","2019"
"1054437","1266682","2019"
"126348","1320242","2019"
"1052354","1255184","2019"
"1041675","1324330","2019"
"1041675","1337489","2019"
"1060508","1341766","2019"
"120929","1301981","2019"
"1057267","1242336","2019"
"1052421","1254832","2019"
"1052421","1319039","2019"
"1043003","1356780","2019"
"1041408","1289260","2019"
"125690","1276422","2019"
"125690","1273612","2019"
"125690","1273612","2019"
"1051529","1348076","2019"
"1051529","1351952","2019"
"1051464","1358955","2019"
"1045584","1350120","2019"
"1045584","1350120","2019"
"1045584","1268251","2019"
"1045584","1268251","2019"
"1045891","1282135","2019"
"1045891","1282119","2019"
"1045891","1338274","2019"
"1048836","1095979","2019"
"1053977","1196122","2019"
"1053977","1344070","2019"
"1041906","1320439","2019"
"1055217","1266682","2019"
"110005","1358330","2019"
"110005","1234293","2019"
"110005","1333481","2019"
"110005","1349511","2019"
"110005","1358349","2019"
"1027940","1335166","2019"
"1060345","1195143","2019"
"1003403","1043500","2019"
"1013969","1348055","2019"
"1013969","1086998","2019"
"1013969","1243093","2019"
"1013969","1358964","2019"
"1059517","1056450","2019"
"1051459","1324150","2019"
"1057611","1183851","2019"
"1057497","1320460","2019"
"1042048","1192760","2019"
"1042038","1192760","2019"
"1057617","1289253","2019"
"1047221","1007679","2019"
"1047221","1203071","2019"
"1041223","1353095","2019"
"1041223","1342900","2019"
"1041223","1283544","2019"
"1041223","1336139","2019"
"1041223","1322996","2019"
"1041823","1134082","2019"
"1041846","1133601","2019"
"1043544","1332472","2019"
"1060955","1165344","2019"
"1060955","1166362","2019"
"1052146","1353097","2019"
"114110","1103651","2019"
"1056952","1349956","2019"
"1052270","1115588","2019"
"1055692","1250523","2019"
"1043300","1353364","2019"
"1043300","1289211","2019"
"1043300","1265315","2019"
"1043300","1212112","2019"
"1043300","1344399","2019"
"1043300","1353364","2019"
"1043300","1336881","2019"
"1043300","1334166","2019"
"1049012","1353073","2019"
"1049012","1348289","2019"
"1053937","1266682","2019"
"1042360","1051140","2019"
"1057902","1266682","2019"
"1049053","1136781","2019"
"1049053","1279308","2019"
"1049150","1190130","2019"
"1057122","1294903","2019"
"114110","1340192","2019"
"1057233","1232512","2019"
"1057233","1267154","2019"
"1056538","1266682","2019"
"1056547","1266682","2019"
"1059832","1295489","2019"
"1047838","1354358","2019"
"1051758","1353873","2019"
"1051758","1348310","2019"
"1051758","1348310","2019"
"1055394","1352802","2019"
"1057260","1350138","2019"
"1057260","1236620","2019"
"1057493","1032501","2019"
"1057493","1036636","2019"
"1052074","1193101","2019"
"1042313","1175809","2019"
"1006182","1349722","2019"
"1006182","1181113","2019"
"1006182","1335121","2019"
"1062257","1355373","2019"
"1062257","1338460","2019"
"1041841","1208732","2019"
"1041841","1089709","2019"
"1041841","1342745","2019"
"1043240","1312439","2019"
"1046639","1353912","2019"
"1042398","1300449","2019"
"1042398","1237810","2019"
"1055646","1334647","2019"
"1061192","1320214","2019"
"1001221","1039480","2019"
"1001221","1251052","2019"
"1001221","1014355","2019"
"1001221","1310639","2019"
"1001221","1266682","2019"
"1001221","1277865","2019"
"1003029","1277865","2019"
"1001221","1267323","2019"
"1001221","1251842","2019"
"1049164","1330630","2019"
"1049164","1202076","2019"
"1005100","1236599","2019"
"125231","1241616","2019"
"1059291","1266682","2019"
"1059295","1266682","2019"
"1047046","1295589","2019"
"1048283","1282831","2019"
"1048283","1168185","2019"
"1052781","1198045","2019"
"1052781","1135673","2019"
"1048290","1146883","2019"
"1052781","1295771","2019"
"1048290","1056743","2019"
"1049020","1177107","2019"
"1049020","1177108","2019"
"1049020","1177106","2019"
"1035648","1323387","2019"
"1035648","1240548","2019"
"1035648","1233540","2019"
"1058840","1320621","2019"
"1058840","1288375","2019"
"1042517","1120281","2019"
"1042517","1241872","2019"
"1042517","1235254","2019"
"1042517","1144132","2019"
"1042459","1322911","2019"
"1041823","1237227","2019"
"1060946","1295955","2019"
"1054060","1292059","2019"
"1047159","1338307","2019"
"1047159","1324123","2019"
"1054156","1192960","2019"
"1013969","1350121","2019"
"1013969","1292456","2019"
"1042379","1240337","2019"
"1042379","1292372","2019"
"1060347","1311311","2019"
"1056318","1186096","2019"
"1042560","1085545","2019"
"1042560","1207886","2019"
"1042560","1062174","2019"
"1042560","1332546","2019"
"1062567","1066790","2019"
"1047235","1105179","2019"
"1047152","1202691","2019"
"1046604","1166722","2019"
"1051758","1354981","2019"
"1051758","1354981","2019"
"1051758","1295912","2019"
"1051758","1355157","2019"
"1051758","1355157","2019"
"1030556","1352807","2019"
"1051674","1324150","2019"
"100006","1342868","2019"
"100006","1342868","2019"
"100006","1322914","2019"
"100006","1322914","2019"
"1053267","1216408","2019"
"1053267","1208004","2019"
"1059953","1353546","2019"
"1059953","1075844","2019"
"1045552","1064121","2019"
"1047609","1296841","2019"
"136274","1164333","2019"
